srch_id,choice_type,chosen_row_id,best_score,threshold_used,ai_reason
5229,NO_PURCHASE,NO_PURCHASE,0.534,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
5321,HOTEL,24,0.8641584905660378,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $95."
5523,NO_PURCHASE,NO_PURCHASE,0.4540000000000002,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
5529,HOTEL,5,0.8022565789473683,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $80."
5537,HOTEL,11,0.8587946428571428,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $61."
5580,HOTEL,22,0.8777857142857143,0.73,"Selected for strongest quality-value tradeoff: star 5, review 5, price $106."
5596,NO_PURCHASE,NO_PURCHASE,0.6680000000000001,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
5637,HOTEL,13,0.8392,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $105."
5844,NO_PURCHASE,NO_PURCHASE,0.6342692307692308,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
5857,NO_PURCHASE,NO_PURCHASE,0.6056274509803921,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
5866,HOTEL,7,0.883,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $99."
5890,HOTEL,25,1.0609787234042554,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $71."
5996,HOTEL,7,0.9085263157894736,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $189."
6065,NO_PURCHASE,NO_PURCHASE,0.6400000000000001,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
6208,HOTEL,19,0.7425056689342403,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $80."
6385,HOTEL,3,0.8217777777777777,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $109."
6945,HOTEL,14,1.004375,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $67."
6966,NO_PURCHASE,NO_PURCHASE,0.7266666666666668,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
7080,HOTEL,12,0.8498573853989813,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $69."
7179,NO_PURCHASE,NO_PURCHASE,0.53,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
7291,HOTEL,22,0.9598095238095238,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $63."
7445,HOTEL,4,0.7610344827586206,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $180."
7493,HOTEL,3,0.8165628128128128,0.73,"Selected for strongest quality-value tradeoff: star 3, review 4, price $167."
7528,HOTEL,11,0.7477333333333334,0.73,"Selected for strongest quality-value tradeoff: star 5, review 5, price $251."
7557,NO_PURCHASE,NO_PURCHASE,0.700524193548387,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
7598,HOTEL,16,1.08,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $71."
7608,HOTEL,1,0.8225757575757575,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $179."
7662,HOTEL,11,0.8158823529411766,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $107."
7773,HOTEL,9,0.893,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $89."
7859,HOTEL,1,0.7534571428571429,0.73,"Selected for strongest quality-value tradeoff: star 4, review 4, price $439."
7884,HOTEL,22,0.8382457757296466,0.73,"Selected for strongest quality-value tradeoff: star 2, review 5, price $71."
7982,NO_PURCHASE,NO_PURCHASE,0.6913333333333334,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
7991,NO_PURCHASE,NO_PURCHASE,0.7245384615384616,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
8057,HOTEL,17,0.8693333333333333,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $93."
8272,HOTEL,1,0.8500000000000001,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $109."
8286,NO_PURCHASE,NO_PURCHASE,0.71,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
8496,NO_PURCHASE,NO_PURCHASE,0.6765714285714286,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
8626,HOTEL,2,0.8497219858156029,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $101."
8711,HOTEL,24,0.7853740266963293,0.73,"Selected for strongest quality-value tradeoff: star 2, review 5, price $110."
8719,HOTEL,3,0.8938165438165439,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $83."
8911,HOTEL,19,0.8312222222222223,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $65."
9051,NO_PURCHASE,NO_PURCHASE,0.6350000000000001,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
9058,HOTEL,23,0.9065069444444446,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $74."
9081,HOTEL,27,1.0406451612903227,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $125."
9984,NO_PURCHASE,NO_PURCHASE,0.6819615384615385,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
10120,HOTEL,11,0.7805772185840252,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $102."
10510,HOTEL,15,0.8402068965517242,0.73,"Selected for strongest quality-value tradeoff: star 3, review 4, price $108."
10521,NO_PURCHASE,NO_PURCHASE,0.7123097826086957,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
10532,NO_PURCHASE,NO_PURCHASE,0.6192967032967034,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
10552,HOTEL,25,0.7881481481481482,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $70."
10634,NO_PURCHASE,NO_PURCHASE,0.5719251336898397,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
10657,HOTEL,23,0.8221061224489798,0.73,"Selected for strongest quality-value tradeoff: star 4, review 4, price $100."
10691,NO_PURCHASE,NO_PURCHASE,0.5331045751633987,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
10716,HOTEL,22,0.8540000000000001,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $104."
10768,HOTEL,20,0.79125,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $129."
10816,NO_PURCHASE,NO_PURCHASE,0.684,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
10855,HOTEL,5,0.9547924528301887,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $116."
10986,HOTEL,3,1.04,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $109."
11023,NO_PURCHASE,NO_PURCHASE,0.6649685189391072,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
11066,HOTEL,10,0.925,0.73,"Selected for strongest quality-value tradeoff: star 5, review 5, price $195."
11458,HOTEL,1,0.8719999999999999,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $129."
11741,NO_PURCHASE,NO_PURCHASE,0.5479999999999999,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
11867,HOTEL,3,0.7383846153846153,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $129."
11969,NO_PURCHASE,NO_PURCHASE,0.6522222222222221,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
12132,HOTEL,26,0.7446141765704585,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $79."
